date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:38	98628/98628	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2003:14:30%20GMT	https://html.fleexstudio.com/consult/single-index4.html	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/single-index4.html	(from )
00:46:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20May%202024%2022:46:38%20GMT	https://html.fleexstudio.com/robots.txt		(from )
00:46:40	193528/193528	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Dec%202022%2012:40:40%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/bootstrap.min.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/bootstrap.min.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:46:41	16467/16467	---M-Z	200	added ('OK')	text/css	date:Sat,%2002%20Jul%202022%2002:46:16%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/swiper.bundle.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/swiper.bundle.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:46:41	80834/80834	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Oct%202023%2012:41:52%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/font-awesome-pro.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/font-awesome-pro.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:47:04	4007/4007	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202023%2008:59:44%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/nice-select.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/nice-select.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:47:06	3351/3351	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2015:28:06%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/owl.carousel.min.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/owl.carousel.min.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:47:06	2304/2304	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Oct%202022%2016:47:38%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/modal-video.min.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/modal-video.min.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:47:07	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/hp/Desktop/taxt/tax/unpkg.com/aos@2.3.1/dist/aos.css	(from https://html.fleexstudio.com/consult/single-index4.html)
00:47:07	3281/3281	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Mar%202023%2014:09:28%20GMT	https://html.fleexstudio.com/consult/assets/css/plugins/mobile.css	C:/Users/hp/Desktop/taxt/tax/html.fleexstudio.com/consult/assets/css/plugins/mobile.css	(from https://html.fleexstudio.com/consult/single-index4.html)
